date,precipitation,temp_max,temp_min,wind,weather,year,dayOfYear,cumulativePrecipitationByYear
2012-01-01,0.0,12.8,5.0,4.7,drizzle,2012,1,0.0
2012-01-02,10.9,10.6,2.8,4.5,rain,2012,2,10.9
2012-01-03,0.8,11.7,7.2,2.3,rain,2012,3,11.700000000000001
2012-01-04,20.3,12.2,5.6,4.7,rain,2012,4,32.0
2012-01-05,1.3,8.9,2.8,6.1,rain,2012,5,33.3
2012-01-06,2.5,4.4,2.2,2.2,rain,2012,6,35.8
2012-01-07,0.0,7.2,2.8,2.3,rain,2012,7,35.8
2012-01-08,0.0,10.0,2.8,2.0,sun,2012,8,35.8
2012-01-09,4.3,9.4,5.0,3.4,rain,2012,9,40.099999999999994
2012-01-10,1.0,6.1,0.6,3.4,rain,2012,10,41.099999999999994
2012-01-11,0.0,6.1,-1.1,5.1,sun,2012,11,41.099999999999994
2012-01-12,0.0,6.1,-1.7,1.9,sun,2012,12,41.099999999999994
2012-01-13,0.0,5.0,-2.8,1.3,sun,2012,13,41.099999999999994
2012-01-14,4.1,4.4,0.6,5.3,snow,2012,14,45.199999999999996
2012-01-15,5.3,1.1,-3.3,3.2,snow,2012,15,50.49999999999999
2012-01-16,2.5,1.7,-2.8,5.0,snow,2012,16,52.99999999999999
2012-01-17,8.1,3.3,0.0,5.6,snow,2012,17,61.099999999999994
2012-01-18,19.8,0.0,-2.8,5.0,snow,2012,18,80.89999999999999
2012-01-19,15.2,-1.1,-2.8,1.6,snow,2012,19,96.1
2012-01-20,13.5,7.2,-1.1,2.3,snow,2012,20,109.6
2012-01-21,3.0,8.3,3.3,8.2,rain,2012,21,112.6
2012-01-22,6.1,6.7,2.2,4.8,rain,2012,22,118.69999999999999
2012-01-23,0.0,8.3,1.1,3.6,rain,2012,23,118.69999999999999
2012-01-24,8.6,10.0,2.2,5.1,rain,2012,24,127.29999999999998
2012-01-25,8.1,8.9,4.4,5.4,rain,2012,25,135.39999999999998
2012-01-26,4.8,8.9,1.1,4.8,rain,2012,26,140.2
2012-01-27,0.0,6.7,-2.2,1.4,drizzle,2012,27,140.2
2012-01-28,0.0,6.7,0.6,2.2,rain,2012,28,140.2
2012-01-29,27.7,9.4,3.9,4.5,rain,2012,29,167.89999999999998
2012-01-30,3.6,8.3,6.1,5.1,rain,2012,30,171.49999999999997
2012-01-31,1.8,9.4,6.1,3.9,rain,2012,31,173.29999999999998
2012-02-01,13.5,8.9,3.3,2.7,rain,2012,32,186.79999999999998
2012-02-02,0.0,8.3,1.7,2.6,sun,2012,33,186.79999999999998
2012-02-03,0.0,14.4,2.2,5.3,sun,2012,34,186.79999999999998
